"","Publisher","Dagger","Book review link","Author","Primary isbn10","Price","Primary isbn13","Sunday review link","Date","First chapter link","Contributor","Title","AgeGroup","WeeksOnList"
"1","Riverhead",0,"https://www.nytimes.com/2015/01/05/books/the-girl-on-the-train-by-paula-hawkins.html","Paula Hawkins","1594634025",2.27,"9.78159E+12","https://www.nytimes.com/2015/02/01/books/review/the-girl-on-the-train-by-paula-hawkins.html",2017-02-19,NA,"by Paula Hawkins","THE GIRL ON THE TRAIN","Adult",102
"2","Scribner",0,NA,"Anthony Doerr","1501173219",12.45,"9.7815E+12","https://www.nytimes.com/2014/05/11/books/review/all-the-light-we-cannot-see-by-anthony-doerr.html",2017-05-07,NA,"by Anthony Doerr","ALL THE LIGHT WE CANNOT SEE","Adult",81
"3","Vintage",0,NA,"E L James","525431888",12.19,"9.78053E+12",NA,2017-03-05,NA,"by E. L. James","FIFTY SHADES DARKER","Adult",66
"4","St. Martin's",0,NA,"Kristin Hannah","1466850604",12.47,"9.78147E+12",NA,2017-10-29,NA,"by Kristin Hannah","THE NIGHTINGALE","Young Adult",63
"5","Penguin Group",0,"https://www.nytimes.com/2009/02/19/books/19masl.html","Kathryn Stockett","1440697663",17.22,"9.78144E+12",NA,2012-04-08,NA,"by Kathryn Stockett","THE HELP","Adult",58
"6","Washington Square",0,NA,"Fredrik Backman","1476738025",12.81,"9.78148E+12",NA,2017-07-23,NA,"by Fredrik Backman","A MAN CALLED OVE","Young Adult",56
"7","Andrews McMeel",0,NA,"Rupi Kaur","144947425X",0.19,"9.78145E+12",NA,2018-03-11,NA,"by Rupi Kaur","MILK AND HONEY","Teen",52
"8","Bantam",0,NA,"George R R Martin","553897845",4.65,"9.78055E+12",NA,2017-09-17,NA,"by George R. R. Martin","A GAME OF THRONES","Teen",51
"9","Berkley",0,"https://www.nytimes.com/2014/07/25/books/in-big-little-lies-liane-moriarty-finds-new-complications.html","Liane Moriarty","425274861",13.32,"9.78043E+12",NA,2017-05-21,NA,"by Liane Moriarty","BIG LITTLE LIES","Young Adult",38
"10","Ballantine",0,NA,"Lisa Wingate","425284697",10.29,"9.78043E+12",NA,2018-06-09,NA,"by Lisa Wingate","BEFORE WE WERE YOURS","Young Adult",35
"11","Scout",0,NA,"Ruth Ware","1501132954",13.87,"9.7815E+12",NA,2017-10-08,NA,"by Ruth Ware","THE WOMAN IN CABIN 10","Young Adult",35
"12","Penguin Press",0,"https://www.nytimes.com/2017/09/25/books/review/little-fires-everywhere-celeste-ng.html","Celeste Ng","735224307",10.9,"9.78074E+12",NA,2018-06-09,NA,"by Celeste Ng","LITTLE FIRES EVERYWHERE","Adult",31
"13","Knopf Doubleday Publishing",0,"https://www.nytimes.com/2008/09/30/books/30kaku.html","Stieg Larsson","307272117",5.65,"9.78031E+12","https://www.nytimes.com/2008/09/14/books/review/Berenson-t.html",2013-01-13,NA,"by Stieg Larsson","THE GIRL WITH THE DRAGON TATTOO","Teen",31
"14","Houghton Mifflin Harcourt",0,NA,"Margaret Atwood","038549081X",18.47,"9.78039E+12","https://www.nytimes.com/1986/02/09/books/no-headline-423986.html",2018-06-03,NA,"by Margaret Atwood","THE HANDMAID S TALE","Adult",27
"15","Doubleday",0,"https://www.nytimes.com/2016/11/06/books/review/john-grisham-whistler.html","John Grisham","1101967684",5.85,"9.7811E+12",NA,2017-09-24,NA,"by John Grisham","THE WHISTLER","Teen",25
"16","Grand Central",0,NA,"Nicholas Sparks","1455520667",16.75,"9.78E+12",NA,2015-05-17,NA,"by Nicholas Sparks","THE LONGEST RIDE","Childhood",25
"17","Broadway",0,"https://www.nytimes.com/2011/08/15/books/ready-player-one-by-ernest-cline-review.html","Ernest Cline","307887448",5.72,"9.78031E+12",NA,2018-05-20,NA,"by Ernest Cline","READY PLAYER ONE","Young Adult",24
"18","Doubleday",0,"https://www.nytimes.com/2017/06/12/books/review/camino-island-john-grisham.html","John Grisham","1524797154",5.34,"9.78152E+12",NA,2018-05-27,NA,"by John Grisham","CAMINO ISLAND","Adult",23
"19","Dell",0,NA,"Diana Gabaldon","440335167",3.73,"9.78044E+12",NA,2017-09-24,NA,"by Diana Gabaldon","OUTLANDER","Teen",21
"20","Penguin Group",0,NA,"Sylvia Day","None",4.64,"9.7811E+12",NA,2013-02-10,NA,"by Sylvia Day","BARED TO YOU","Teen",21
"21","Andrews McMeel",0,"https://www.nytimes.com/2017/12/15/books/review/rupi-kaur-instapoets.html","Rupi Kaur","1449486797",6.33,"9.78145E+12",NA,2018-04-01,NA,"by Rupi Kaur","THE SUN AND HER FLOWERS","Young Adult",20
"22","Doubleday",0,NA,"Dan Brown","385514239",6.05,"9.78039E+12",NA,2018-03-04,NA,"by Dan Brown","ORIGIN","Teen",20
"23","Ballantine",0,NA,"Martha Hall Kelly","1101883081",3.18,"9.7811E+12",NA,2017-09-17,NA,"by Martha Hall Kelly","LILAC GIRLS","Teen",20
"24","Scribner",0,"https://www.nytimes.com/2011/10/31/books/stephen-kings-11-23-63-review.html","Stephen King","1501120603",0.8,"9.78E+12","https://www.nytimes.com/2011/11/13/books/review/11-22-63-by-stephen-king-book-review.html",2016-03-06,NA,"by Stephen King","11 22 63","Young Adult",19
"25","Vintage",0,NA,"E L James","345803574",4.38,"9.78E+12",NA,2015-03-08,NA,"by E. L. James","FIFTY SHADES TRILOGY","Adult",19
"26","Forge Books",0,NA,"W Bruce Cameron","765388111",16.21,"9.78077E+12",NA,2017-04-30,NA,"by W. Bruce Cameron","A DOG S PURPOSE","Young Adult",18
"27","Entangled Publishing",0,NA,"Jennifer Probst","None",10.51,"A00B00790TI0W",NA,2012-09-02,NA,"by Jennifer Probst","THE MARRIAGE BARGAIN","Teen",17
"28","St. Martin's",0,NA,"Kristin Hannah","125016561X",18.29,"9.78125E+12",NA,2018-06-09,NA,"by Kristin Hannah","THE GREAT ALONE","Adult",16
"29","Doubleday",0,"https://www.nytimes.com/2016/08/14/books/review/colson-whitehead-underground-railroad.html","Colson Whitehead","385542364",16.63,"9.78039E+12",NA,2017-02-12,NA,"by Colson Whitehead","THE UNDERGROUND RAILROAD","Adult",16
"30","Ballantine",0,"https://www.nytimes.com/2016/10/16/books/review/jodi-picoult-small-great-things-roxane-gay.html","Jodi Picoult","034554496X",0.92,"9.78035E+12",NA,2017-02-12,NA,"by Jodi Picoult","SMALL GREAT THINGS","Childhood",16
"31","Grand Central",0,NA,"Nicholas Sparks","1455520691",9.12,"9.78146E+12",NA,2017-02-05,NA,"by Nicholas Sparks","TWO BY TWO","Childhood",16
"32","Harper",0,"https://www.nytimes.com/2015/07/11/books/review-harper-lees-go-set-a-watchman-gives-atticus-finch-a-dark-side.html","Harper Lee","62409875",5.3,"9.78006E+12","https://www.nytimes.com/2015/07/14/books/review/harper-lees-go-set-a-watchman.html",2016-07-10,NA,"by Harper Lee","GO SET A WATCHMAN","Young Adult",16
"33","Morrow",0,NA,"AJ Finn","62678418",6.09,"9.78006E+12",NA,2018-05-06,NA,"by A.J. Finn","THE WOMAN IN THE WINDOW","Adult",15
"34","Scribner",0,NA,"Stephen King","1501175467",10.15,"9.7815E+12",NA,2017-12-10,NA,"by Stephen King","IT","Teen",15
"35","Grand Central",0,NA,"Nicholas Sparks","1455520608",3.62,"9.78146E+12",NA,2017-07-02,NA,"by Nicholas Sparks","SEE ME","Childhood",15
"36","Grand Central",0,NA,"David Baldacci","446573043",15.19,"9.78045E+12",NA,2013-05-05,NA,"by David Baldacci","THE FORGOTTEN","Adult",15
"37","Delacorte",0,"https://www.nytimes.com/2017/11/08/books/review-midnight-line-jack-reacher-lee-child.html","Lee Child","399593500",4.02,"9.7804E+12",NA,2018-06-09,NA,"by Lee Child","THE MIDNIGHT LINE","Adult",14
"38","Doubleday",0,NA,"John Grisham","385541171",5.18,"9.78039E+12",NA,2018-02-11,NA,"by John Grisham","THE ROOSTER BAR","Adult",14
"39","Grand Central",0,NA,"David Baldacci","145558648X",19.84,"9.78146E+12",NA,2017-05-14,NA,"by David Baldacci","THE LAST MILE","Adult",14
"40","Riverhead",0,NA,"Paula Hawkins","735211221",16.15,"9.78074E+12",NA,2018-06-03,NA,"by Paula Hawkins","INTO THE WATER","Young Adult",13
"41","Windblown Media",0,NA,"William P Young","964729237",11.07,"9.78096E+12",NA,2017-05-07,NA,"by William P. Young","THE SHACK","Adult",13
"42","Sarah Crichton/Farrar, Straus & Giroux",0,NA,"Matthew Quick","142996023X",12.93,"9.78143E+12",NA,2013-06-02,NA,"by Matthew Quick","THE SILVER LININGS PLAYBOOK","Teen",13
"43","Delacorte Press",0,"https://www.nytimes.com/2012/02/13/books/defending-jacob-by-william-landay.html","William Landay","345527593",6.24,"9.78035E+12",NA,2013-04-07,NA,"by William Landay","DEFENDING JACOB","Childhood",13
"44","Grand Central",0,NA,"David Baldacci","1455586587",12.44,"9.78146E+12",NA,2018-04-01,NA,"by David Baldacci","THE FIX","Childhood",12
"45","Grand Central",0,NA,"David Baldacci","1455521167",6.6,"9.78E+12",NA,2015-04-12,NA,"by David Baldacci","THE ESCAPE","Young Adult",12
"46","Darcie Chan",0,NA,"Darcie Chan","None",10.04,"9.78E+12",NA,2013-09-29,NA,"by Darcie Chan","THE MILL RIVER RECLUSE","Childhood",12
"47","Houghton Mifflin Harcourt",0,NA,"Yann Martel","547416113",13.54,"9.78055E+12",NA,2013-04-07,NA,"by Yann Martel","LIFE OF PI","Young Adult",12
"48","Delacorte",0,NA,"Lee Child","804178828",9.7,"9.7808E+12",NA,2017-06-18,NA,"by Lee Child","NIGHT SCHOOL","Young Adult",11
"49","Berkley",0,NA,"Nora Roberts","110198760X",4.88,"9.7811E+12",NA,2017-04-23,NA,"by Nora Roberts","THE OBSESSION","Childhood",11
"50","Ecco/HarperCollins",0,NA,"Cynthia D'Aprix Sweeney","62414216",15.31,"9.78006E+12",NA,2016-06-19,NA,"by Cynthia D'Aprix Sweeney","THE NEST","Teen",11
"51","Grand Central",0,NA,"David Baldacci","1455586501",1.48,"9.78146E+12",NA,2017-04-09,NA,"by David Baldacci","NO MAN S LAND","Adult",10
"52","Little, Brown",0,NA,"James Patterson","031640716X",6.19,"9.78032E+12",NA,2017-03-26,NA,"by James Patterson","CROSS THE LINE","Young Adult",10
"53","Grand Central",0,NA,"David Baldacci","1455586439",14.35,"9.78E+12",NA,2016-04-17,NA,"by David Baldacci","THE GUILTY","Young Adult",10
"54","Putnam",0,NA,"Nora Roberts","1101989750",10.09,"9.78E+12",NA,2016-04-10,NA,"by Nora Roberts","THE LIAR","Young Adult",10
"55","Knopf",0,NA,"David Lagercrantz","385354290",3.06,"9.78E+12",NA,2016-03-13,NA,"by David Lagercrantz","THE GIRL IN THE SPIDER S WEB","Adult",10
"56","Little, Brown & Company",0,NA,"James Patterson","None",10.08,"9.78032E+12",NA,2012-02-05,NA,"by James Patterson","KILL ALEX CROSS","Adult",10
"57","Knopf Doubleday",0,"https://www.nytimes.com/2010/11/08/books/08book.html","John Grisham","440245117",9.88,"9.78044E+12",NA,2011-09-11,NA,"by John Grisham","THE CONFESSION","Childhood",10
"58","Vintage",0,NA,"EL James","385543980",15.02,"9.78039E+12",NA,2018-02-25,NA,"by E.L. James","DARKER","Adult",9
"59","Viking",0,NA,"Ken Follett","052595497X",3.49,"9.78053E+12",NA,2017-12-10,NA,"by Ken Follett","A COLUMN OF FIRE","Young Adult",9
"60","Flatiron",0,NA,"Liane Moriarty","1250069815",16.97,"9.78125E+12",NA,2017-01-15,NA,"by Liane Moriarty","TRULY MADLY GUILTY","Teen",9
"61","Grand Central",0,NA,"Nicholas Sparks","446401315",17.3,"9.78E+12",NA,2016-03-06,NA,"by Nicholas Sparks","THE CHOICE","Young Adult",9
"62","Delacorte",0,NA,"Lee Child","804178755",0.84,"9.78E+12",NA,2015-05-24,NA,"by Lee Child","PERSONAL","Childhood",9
"63","Little, Brown",0,NA,"James Patterson","None",6.34,"9.78E+12",NA,2015-02-08,NA,"by James Patterson","HOPE TO DIE","Young Adult",9
"64","Grand Central",0,NA,"Nicholas Sparks","None",0.27,"9.78E+12",NA,2014-11-16,NA,"by Nicholas Sparks","THE BEST OF ME","Teen",9
"65","Grand Central",0,NA,"David Baldacci","145552123X",4.78,"9.78E+12",NA,2014-07-06,NA,"by David Baldacci","THE TARGET","Young Adult",9
"66","Grand Central",0,NA,"David Baldacci","1455521280",14.13,"9.78E+12",NA,2013-07-07,NA,"by David Baldacci","THE HIT","Young Adult",9
"67","Tracey Garvis-Graves",0,NA,"Tracey Garvis-Graves","None",6.16,"A00B005L9B5YU",NA,2012-06-24,NA,"by Tracey Garvis-Graves","ON THE ISLAND","Young Adult",9
